ID_IBGE,Region,UF,State,Microregion,Mesoregion,City,Latitude,Longitude,Population
1100015,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Alta Floresta D'Oeste,-11.9296917,-61.9961284,22516
1100023,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Ariquemes,-9.9076522,-63.033069,111148
1100031,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Cabixi,-13.4956065,-60.542444200000006,5067
1100049,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,-11.4333,-61.4420502,86416
1100056,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Cerejeiras,-13.186987,-60.816836,16088
1100064,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Colorado do Oeste,-13.117431,-60.545428,15213
1100072,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Corumbiara,-12.9977668,-60.9455009,7052
1100080,Norte,RO,Rondônia,Guajará-Mirim,Madeira-Guaporé,Costa Marques,-12.4367165,-64.2279765,19255
1100098,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Espigão D'Oeste,-11.532175,-61.0130935,33009
1100106,Norte,RO,Rondônia,Guajará-Mirim,Madeira-Guaporé,Guajará-Mirim,-10.7804239,-65.3327825,46930
1100114,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Jaru,-10.431826,-62.47876899999999,51469
1100122,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Ji-Paraná,-10.8778148,-61.92778539999999,131026
1100130,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Machadinho D'Oeste,-9.4240851,-61.9923719,41724
1100148,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Nova Brasilândia D'Oeste,-11.722692,-62.31554499999999,20504
1100155,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Ouro Preto do Oeste,-10.7223354,-62.2533413,35445
1100189,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Pimenta Bueno,-11.6767868,-61.1863902,37098
1100205,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Porto Velho,-8.7494525,-63.87354379999999,548952
1100254,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Presidente Médici,-11.1686638,-61.9057627,18165
1100262,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Rio Crespo,-9.705277699999998,-62.90044739999999,3843
1100288,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Rolim de Moura,-11.727071,-61.771411,55748
1100296,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Santa Luzia D'Oeste,-11.9064424,-61.7797356,5942
1100304,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Vilhena,-12.7368536,-60.146555500000005,104517
1100320,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,São Miguel do Guaporé,-11.6951466,-62.71957389999999,23147
1100338,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Nova Mamoré,-10.4104864,-65.3313761,32184
1100346,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Alvorada D'Oeste,-11.346271,-62.284697,13807
1100379,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Alto Alegre dos Parecis,-12.1314515,-61.856265,13268
1100403,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Alto Paraíso,-9.7240103,-63.318812300000005,22258
1100452,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Buritis,-10.2054937,-63.828195400000006,41043
1100502,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Novo Horizonte do Oeste,-11.7105311,-61.9993277,8125
1100601,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Cacaulândia,-10.3380043,-62.9007231,6307
1100700,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Campo Novo de Rondônia,-10.5704235,-63.61995110000001,14391
1100809,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Candeias do Jamari,-8.7949939,-63.701885100000005,28068
1100908,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Castanheiras,-11.4277212,-61.948680200000005,2923
1100924,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Chupinguaia,-12.5528918,-60.9027819,11755
1100940,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Cujubim,-9.368791900000002,-62.58321070000001,27131
1101005,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Governador Jorge Teixeira,-10.6140224,-62.7326412,7130
1101104,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Itapuã do Oeste,-9.189646,-63.19100970000001,10819
1101203,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Ministro Andreazza,-11.1981045,-61.5167422,9461
1101302,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Mirante da Serra,-11.0321694,-62.6717012,10691
1101401,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Monte Negro,-10.2603398,-63.2977025,16158
1101435,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Nova União,-10.91591,-62.5570096,6822
1101450,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Parecis,-12.1810712,-61.6037558,6319
1101468,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Pimenteiras do Oeste,-13.482271,-61.047052,2127
1101476,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Primavera de Rondônia,-11.829456,-61.315336,2697
1101484,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,São Felipe D'Oeste,-11.9107798,-61.5130058,4962
1101492,Norte,RO,Rondônia,Guajará-Mirim,Madeira-Guaporé,São Francisco do Guaporé,-12.060998199999998,-63.5668307,21088
1101500,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Seringueiras,-11.7715738,-63.03468349999999,11846
1101559,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Teixeirópolis,-10.9336967,-62.2560049,4160
1101609,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Theobroma,-10.246489,-62.34938029999999,10348
1101708,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Urupá,-11.1256535,-62.3704203,11081
1101757,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Vale do Anari,-9.8580807,-62.17414229999999,11545
1101807,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Vale do Paraíso,-10.4266959,-62.1300904,6490
1200013,Norte,AC,Acre,Rio Branco,Vale do Acre,Acrelândia,-10.0759167,-67.0526898,15721
1200054,Norte,AC,Acre,Brasiléia,Vale do Acre,Assis Brasil,-10.9409203,-69.5672108,7649
1200104,Norte,AC,Acre,Brasiléia,Vale do Acre,Brasiléia,-11.0010413,-68.7487894,27123
1200138,Norte,AC,Acre,Rio Branco,Vale do Acre,Bujari,-9.8309656,-67.9520886,10572
1200179,Norte,AC,Acre,Rio Branco,Vale do Acre,Capixaba,-10.5741345,-67.67597190000001,12280
1200203,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Cruzeiro do Sul,-7.630795599999999,-72.67038690000001,89760
1200252,Norte,AC,Acre,Brasiléia,Vale do Acre,Epitaciolândia,-11.0289439,-68.7411519,18979
1200302,Norte,AC,Acre,Tarauacá,Vale do Juruá,Feijó,-8.1648652,-70.3539579,34986
1200328,Norte,AC,Acre,Tarauacá,Vale do Juruá,Jordão,-9.1911406,-71.9481397,8628
1200336,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Mâncio Lima,-7.614591099999999,-72.905264,19643
1200344,Norte,AC,Acre,Sena Madureira,Vale do Acre,Manoel Urbano,-8.838861,-69.2620618,9701
1200351,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Marechal Thaumaturgo,-8.947979199999999,-72.7872614,19727
1200385,Norte,AC,Acre,Rio Branco,Vale do Acre,Plácido de Castro,-10.3239154,-67.1824196,20147
