,ID_IBGE,ID_UF,ID_CITY,Region,UF,State,Microregion,Mesoregion,ImmediateRegion,IntermediateRegion,City,Location,Population
0,1100015,11,00015,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Alta Floresta D'Oeste,"Alta Floresta D'Oeste, RO, Rondônia, Brazil",22516
1,1100023,11,00023,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Ariquemes,Porto Velho,Ariquemes,"Ariquemes, RO, Rondônia, Brazil",111148
2,1100031,11,00031,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Vilhena,Ji-Paraná,Cabixi,"Cabixi, RO, Rondônia, Brazil",5067
3,1100049,11,00049,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Cacoal,"Cacoal, RO, Rondônia, Brazil",86416
4,1100056,11,00056,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Vilhena,Ji-Paraná,Cerejeiras,"Cerejeiras, RO, Rondônia, Brazil",16088
5,1100064,11,00064,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Vilhena,Ji-Paraná,Colorado do Oeste,"Colorado do Oeste, RO, Rondônia, Brazil",15213
6,1100072,11,00072,Norte,RO,Rondônia,Colorado do Oeste,Leste Rondoniense,Vilhena,Ji-Paraná,Corumbiara,"Corumbiara, RO, Rondônia, Brazil",7052
7,1100080,11,00080,Norte,RO,Rondônia,Guajará-Mirim,Madeira-Guaporé,Ji-Paraná,Ji-Paraná,Costa Marques,"Costa Marques, RO, Rondônia, Brazil",19255
8,1100098,11,00098,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Espigão D'Oeste,"Espigão D'Oeste, RO, Rondônia, Brazil",33009
9,1100106,11,00106,Norte,RO,Rondônia,Guajará-Mirim,Madeira-Guaporé,Porto Velho,Porto Velho,Guajará-Mirim,"Guajará-Mirim, RO, Rondônia, Brazil",46930
10,1100114,11,00114,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Jaru,Porto Velho,Jaru,"Jaru, RO, Rondônia, Brazil",51469
11,1100122,11,00122,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ji-Paraná,"Ji-Paraná, RO, Rondônia, Brazil",131026
12,1100130,11,00130,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Jaru,Porto Velho,Machadinho D'Oeste,"Machadinho D'Oeste, RO, Rondônia, Brazil",41724
13,1100148,11,00148,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Cacoal,Ji-Paraná,Nova Brasilândia D'Oeste,"Nova Brasilândia D'Oeste, RO, Rondônia, Brazil",20504
14,1100155,11,00155,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Ouro Preto do Oeste,"Ouro Preto do Oeste, RO, Rondônia, Brazil",35445
15,1100189,11,00189,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Cacoal,Ji-Paraná,Pimenta Bueno,"Pimenta Bueno, RO, Rondônia, Brazil",37098
16,1100205,11,00205,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Porto Velho,Porto Velho,Porto Velho,"Porto Velho, RO, Rondônia, Brazil",548952
17,1100254,11,00254,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Presidente Médici,"Presidente Médici, RO, Rondônia, Brazil",18165
18,1100262,11,00262,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Ariquemes,Porto Velho,Rio Crespo,"Rio Crespo, RO, Rondônia, Brazil",3843
19,1100288,11,00288,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Rolim de Moura,"Rolim de Moura, RO, Rondônia, Brazil",55748
20,1100296,11,00296,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Santa Luzia D'Oeste,"Santa Luzia D'Oeste, RO, Rondônia, Brazil",5942
21,1100304,11,00304,Norte,RO,Rondônia,Vilhena,Leste Rondoniense,Vilhena,Ji-Paraná,Vilhena,"Vilhena, RO, Rondônia, Brazil",104517
22,1100320,11,00320,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Ji-Paraná,Ji-Paraná,São Miguel do Guaporé,"São Miguel do Guaporé, RO, Rondônia, Brazil",23147
23,1100338,11,00338,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Porto Velho,Porto Velho,Nova Mamoré,"Nova Mamoré, RO, Rondônia, Brazil",32184
24,1100346,11,00346,Norte,RO,Rondônia,Alvorada D'Oeste,Leste Rondoniense,Ji-Paraná,Ji-Paraná,Alvorada D'Oeste,"Alvorada D'Oeste, RO, Rondônia, Brazil",13807
25,1100379,11,00379,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Alto Alegre dos Parecis,"Alto Alegre dos Parecis, RO, Rondônia, Brazil",13268
26,1100403,11,00403,Norte,RO,Rondônia,Ariquemes,Leste Rondoniense,Ariquemes,Porto Velho,Alto Paraíso,"Alto Paraíso, RO, Rondônia, Brazil",22258
27,1100452,11,00452,Norte,RO,Rondônia,Porto Velho,Madeira-Guaporé,Ariquemes,Porto Velho,Buritis,"Buritis, RO, Rondônia, Brazil",41043
28,1100502,11,00502,Norte,RO,Rondônia,Cacoal,Leste Rondoniense,Cacoal,Ji-Paraná,Novo Horizonte do Oeste,"Novo Horizonte do Oeste, RO, Rondônia, Brazil",8125
